genre,nb_arbres,proportion,proportion_pct
ACER,3736,0.4862683847455421,48.63
GLEDITSIA,507,0.06598984771573604,6.6
ULMUS,476,0.061954965508265,6.2
TILIA,376,0.048939216451906804,4.89
FRAXINUS,326,0.04243134192372771,4.24
CELTIS,325,0.04230118443316413,4.23
GINKGO,318,0.04139008199921906,4.14
QUERCUS,310,0.0403488220747104,4.03
GYMNOCLADUS,252,0.03279968762202265,3.28
PICEA,132,0.017180788754392814,1.72
SYRINGA,121,0.015749056358193413,1.57
AMELANCHIER,119,0.01548874137706625,1.55
MALUS,93,0.01210464662241312,1.21
PINUS,80,0.010412599245086555,1.04
AESCULUS,50,0.006507874528179097,0.65
BETULA,50,0.006507874528179097,0.65
CATALPA,42,0.005466614603670442,0.55
PHELLODENDRON,35,0.004555512169725368,0.46
MAACKIA,32,0.004165039698034622,0.42
PLATANUS,31,0.0040348822074710395,0.4
POPULUS,27,0.003514252245216712,0.35
OSTRYA,26,0.00338409475465313,0.34
RHAMNUS,26,0.00338409475465313,0.34
FAGUS,23,0.0029936222829623845,0.3
LIRIODENDRON,23,0.0029936222829623845,0.3
LARIX,20,0.0026031498112716388,0.26
PRUNUS,14,0.0018222048678901471,0.18
CRATAEGUS,13,0.001692047377326565,0.17
ZELKOVA,12,0.0015618898867629833,0.16
JUGLANS,11,0.0014317323961994012,0.14
CORYLUS,10,0.0013015749056358194,0.13
ROBINIA,10,0.0013015749056358194,0.13
THUYA,10,0.0013015749056358194,0.13
CARPINUS,7,9.111024339450736e-4,0.09
CERCIDIPHYLLUM,7,9.111024339450736e-4,0.09
ABIES,5,6.507874528179097e-4,0.07
ELAEAGNUS,5,6.507874528179097e-4,0.07
TAXUS,4,5.206299622543278e-4,0.05
CARYA,3,3.904724716907458e-4,0.04
CLADASTRIS,3,3.904724716907458e-4,0.04
CORNUS,3,3.904724716907458e-4,0.04
A,2,2.603149811271639e-4,0.03
PYRUS,2,2.603149811271639e-4,0.03
TSUGA,2,2.603149811271639e-4,0.03
MAGNOLIA,1,1.3015749056358194e-4,0.01
SALIX,1,1.3015749056358194e-4,0.01
SOUCHE,1,1.3015749056358194e-4,0.01
VIBURNUM,1,1.3015749056358194e-4,0.01
